Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,18442,62117: 24; 24053: 24; 1042111: 23
COL01,0,100.0,integer,28,"1: 18,453; 2: 17,548; 3: 15,884"
COL03,0,100.0,integer,10,"3: 59,429; 1: 18,454; 2: 16,175"
COL04,17,99.98326293922479,integer,9,"2: 51,069; 1: 50,462; 3: 13"
COL05,2,99.99803093402645,integer,101,"5: 3,987; 4: 3,517; 8: 3,374"
COL06,18831,81.46025932598872,integer,4,"1: 55,193; 2: 27,546; 0: 1"
COL07,75655,25.515156885331447,string,5,"1: 14,404; 2: 11,509; 0: 2"
COL08,46373,54.3442518041567,integer,57,"16: 6,181; 14: 5,206; 12: 4,601"
COL09,18831,81.46025932598872,integer,9,"3: 28,040; 1: 24,700; 4: 21,493"
COL10,31819,68.67314489371967,integer,10,"1: 36,218; 4: 29,897; 2: 3,352"
