Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,26941,6032016: 22; 6032026: 21; 22042044: 20
COL01,0,100.0,integer,22,"1: 26,941; 2: 25,728; 3: 22,944"
COL03,0,100.0,integer,9,"3: 74,390; 1: 26,941; 2: 23,703"
COL04,0,100.0,integer,2,"1: 66,783; 2: 65,925"
COL05,0,100.0,integer,100,"15: 4,431; 14: 4,335; 12: 4,167"
COL06,12421,90.64035325677428,integer,3,"1: 91,741; 2: 28,546"
COL07,40967,69.12996955722338,integer,3,"2: 50,780; 1: 40,961"
COL08,40967,69.12996955722338,integer,60,"16: 10,717; 23: 10,430; 15: 7,862"
COL09,24893,81.24227627573319,integer,7,"1: 37,053; 4: 29,646; 5: 29,057"
COL10,24893,81.24227627573319,integer,5,"1: 52,741; 4: 50,641; 2: 4,041"
