Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,8257,1090090008: 3; 2150005007: 3; 1090136312: 3
DYCOL01,0,100.0,integer,5,"22111: 4,595; 22113: 2,747; 22115: 843"
DYCOL02,0,100.0,integer,6,"1: 8,735; 7: 64; 2: 2"
DYCOL03,8804,-0.0,integer,1,
DYCOL04,1463,83.38255338482507,integer,135,"600: 2,935; 300: 1,009; 1200: 479"
DYCOL05,1462,83.39391185824626,integer,122,"500: 1,375; 750: 679; 300: 640"
DYCOL06,0,100.0,integer,395,300000: 902; 150000: 605; 450000: 414
