Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,16081,2040167003: 24; 2040133001: 16; 2030168004: 15
DYCOL01,6,99.97974478428195,integer,20,"1: 19,138; 2: 4,222; 3: 3,067"
DYCOL02,6,99.97974478428195,integer,3,"1: 28,524; 2: 1,092"
DYCOL03,6,99.97974478428195,string,217,"6111: 7,781; 6121: 6,943; 5220: 2,882"
DYCOL04,6,99.97974478428195,string,249,"0111: 7,614; 0124: 7,372; 0113: 2,278"
DYCOL05,6,99.97974478428195,integer,4,"2: 18,918; 3: 7,350; 1: 3,348"
DYCOL06,6,99.97974478428195,integer,3,"1: 18,541; 2: 11,075"
DYCOL07,845,97.14739045304167,integer,20,"8: 4,580; 5: 3,991; 4: 3,784"
DYCOL08,844,97.150766322328,integer,9,"7: 12,235; 6: 6,867; 5: 2,752"
DYCOL09,22760,23.165215042873545,integer,437,"0: 5,073; 1000000: 76; 3000000: 59"
DYCOL10,2774,90.63533859968942,integer,2948,"0: 7,425; 2000000: 516; 5000000: 469"
DYCOL11,6857,76.85166430355817,integer,563,"0: 16,485; 2000000: 401; 500000: 389"
DYCOL12,21506,27.398555127945446,integer,1040,"0: 2,604; 3000000: 224; 2000000: 203"
DYCOL13,22873,22.78374181351698,integer,166,"0: 5,694; 500000: 84; 1000000: 80"
DYCOL14,1754,94.07872527175748,integer,4455,"0: 6,539; 30000000: 386; 20000000: 385"
DYCOL15,8913,69.9108770508406,string,4685,"0: 6,346; 30000000: 184; 36000000: 155"
