Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,15817,3034018: 18; 3122130: 18; 3053053: 17
DYCOL01,0,100.0,integer,16,"1: 20,237; 2: 4,752; 3: 3,566"
DYCOL02,0,100.0,integer,2,"1: 31,248; 2: 1,342"
DYCOL03,0,100.0,integer,220,"6111: 8,692; 6121: 7,792; 5220: 3,003"
DYCOL04,0,100.0,integer,315,"124: 8,442; 111: 7,877; 113: 2,579"
DYCOL05,0,100.0,integer,3,"2: 19,671; 3: 8,708; 1: 4,211"
DYCOL06,0,100.0,integer,2,"1: 20,790; 2: 11,800"
DYCOL07,388,98.80945075176435,integer,20,"8: 4,281; 5: 4,154; 3: 4,021"
DYCOL08,386,98.81558760355938,integer,9,"7: 16,452; 6: 6,886; 4: 2,177"
DYCOL09,12398,61.95765572261429,integer,871,"0: 13,205; 1000000: 393; 500000: 345"
DYCOL10,6201,80.97269100951212,integer,3505,"0: 6,163; 2000000: 417; 1000000: 394"
DYCOL11,12873,60.500153421294875,integer,833,"0: 12,603; 1000000: 329; 500000: 321"
DYCOL12,9316,71.41454433875423,integer,2013,"0: 8,980; 1000000: 376; 500000: 368"
DYCOL13,16491,49.39858852408714,integer,205,"0: 15,067; 1000000: 65; 500000: 64"
DYCOL14,4730,85.48634550475606,integer,5289,"0: 6,299; 5000000: 302; 8000000: 278"
DYCOL15,0,100.0,integer,6938,"0: 8,821; 18000000: 385; 30000000: 367"
