Year,0,1,2,3,4,5,6,7
1363,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
1364,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
1365,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
1366,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
1367,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
1368,ADDRESS,COL01,COL02,COL03,COL05,COL07,COL09,COL11
