Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,37045,2000212002: 1; 1100114003: 1; 1100110001: 1
DYCOL01,177,99.52220272641382,integer,8,"1: 28,286; 3: 3,654; 6: 3,313"
DYCOL02,37021,0.06478607099473788,string,4,کپري: 23; كپري: 1
DYCOL03,177,99.52220272641382,integer,14,"3: 12,149; 4: 10,642; 2: 6,535"
DYCOL04,177,99.52220272641382,integer,253,"100: 4,035; 80: 2,896; 120: 2,783"
DYCOL05,177,99.52220272641382,integer,4,"3: 32,285; 1: 2,535; 2: 2,048"
DYCOL06,4758,87.15616142529356,integer,10,"1: 18,687; 2: 4,995; 6: 3,204"
DYCOL07,28426,23.26629774598461,integer,2,"1: 8,619"
DYCOL08,26382,28.783911459036304,integer,2,"1: 10,663"
DYCOL09,33162,10.481846403023354,integer,2,"1: 3,883"
DYCOL10,34400,7.139964907544883,integer,2,"1: 2,645"
DYCOL11,24006,35.19773248751519,integer,2,"1: 13,039"
DYCOL12,36055,2.6724254285328652,integer,2,1: 990
DYCOL13,2302,93.78593602375489,integer,2,"1: 34,743"
DYCOL14,16931,54.29612633283845,integer,2,"1: 20,114"
DYCOL15,30225,18.410041841004187,integer,2,"1: 6,820"
DYCOL16,10165,72.56039951410446,integer,2,"1: 26,880"
DYCOL17,30072,18.82305304359563,integer,2,"1: 6,973"
DYCOL18,7893,78.69348090160615,integer,2,"1: 29,152"
DYCOL19,28785,22.29720610068835,integer,2,"1: 8,260"
DYCOL20,1591,95.70522337697395,integer,2,"1: 35,454"
DYCOL21,13569,63.37157511135105,integer,2,"1: 23,476"
DYCOL22,18902,48.97557025239574,integer,2,"1: 18,143"
DYCOL23,18659,49.63152922121744,integer,2,"1: 18,386"
DYCOL24,16494,55.47577270886759,integer,2,"1: 20,551"
DYCOL25,35832,3.2743960048589593,integer,2,"1: 1,213"
DYCOL26,35675,3.6982048859495187,integer,2,"1: 1,370"
DYCOL27,36847,0.5344850857065708,integer,2,1: 198
DYCOL28,36971,0.19975705223377327,integer,2,1: 74
DYCOL29,1452,96.08044270481845,integer,2,"1: 35,593"
DYCOL30,283,99.23606424618707,integer,2,"2: 36,762"
DYCOL31,16798,54.65514914293427,integer,2,"3: 20,247"
DYCOL32,7350,80.15926575786206,integer,2,"4: 29,695"
DYCOL33,34729,6.2518558509920386,integer,2,"5: 2,316"
DYCOL34,5032,86.41652044810367,integer,2,"6: 32,013"
DYCOL35,4573,87.65555405587799,integer,3,"7: 32,470; 0: 2"
DYCOL36,24051,35.07625860440006,integer,2,"8: 12,994"
DYCOL37,37015,0.0809825887434168,integer,2,9: 30
DYCOL38,36793,0.6802537454447255,integer,2,10: 252
DYCOL39,36978,0.18086111486030898,integer,2,11: 67
DYCOL40,32627,11.926035902281008,integer,2,"12: 4,418"
DYCOL41,32914,11.151302469968961,integer,2,"13: 4,131"
DYCOL42,177,99.52220272641382,integer,8,"4: 20,139; 3: 16,298; 1: 244"
DYCOL43,177,99.52220272641382,integer,11,"14: 20,034; 11: 13,510; 15: 1,531"
DYCOL44,177,99.52220272641382,integer,11,"24: 19,994; 21: 6,410; 23: 5,749"
DYCOL45,36733,0.8422189229315702,integer,2,1: 312
DYCOL46,33983,8.265622891078417,integer,2,"2: 3,062"
DYCOL47,36888,0.42380888109057047,integer,2,1: 157
DYCOL48,35174,5.050614117964636,integer,2,"2: 1,871"
DYCOL49,36790,0.6883520043190705,integer,2,1: 255
DYCOL50,29659,19.937913348630044,integer,2,"2: 7,386"
DYCOL51,36906,0.3752193278445115,integer,2,1: 139
DYCOL52,35667,3.7198002429477683,integer,2,"2: 1,378"
DYCOL53,37030,0.04049129437171395,integer,2,1: 15
DYCOL54,36903,0.3833175867188565,integer,2,2: 142
DYCOL55,36481,1.5224726683762957,integer,2,1: 564
DYCOL56,36973,0.19435821298421363,integer,2,1: 72
DYCOL57,36534,1.3794034282629264,integer,2,2: 511
DYCOL58,12842,65.3340531785666,integer,2,"1: 24,203"
