Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,19655,1260002018: 8; 2090067117: 6; 2260022174: 6
DYCOL01,3,99.98803016398675,integer,15,"1: 15,664; 3: 3,951; 2: 2,205"
DYCOL02,3,99.98803016398675,integer,3,"1: 22,337; 2: 2,723"
DYCOL03,3,99.98803016398675,integer,307,"9314: 6,289; 9211: 2,466; 5220: 912"
DYCOL04,3,99.98803016398675,integer,322,"4521: 7,086; 111: 1,214; 8021: 870"
DYCOL05,3,99.98803016398675,integer,4,"3: 19,743; 1: 5,219; 2: 98"
DYCOL06,2564,89.7697801540119,integer,20,"8: 12,062; 10: 3,877; 9: 1,440"
DYCOL07,2562,89.77776004468738,integer,9,"6: 12,156; 7: 3,214; 5: 2,557"
DYCOL08,12378,50.612456609344456,string,1577,0: 922; 0003000000: 777; 0004000000: 692
DYCOL09,3,99.98803016398675,integer,3813,"36000000: 1,114; 30000000: 771; 24000000: 657"
DYCOL10,228,99.09029246299326,integer,3451,"0: 2,643; 3000000: 1,809; 4000000: 1,296"
DYCOL11,8,99.96808043729801,integer,4776,"36000000: 1,200; 30000000: 816; 48000000: 799"
DYCOL12,6093,75.68926305709611,integer,261,"0: 16,937; 500000: 218; 1000000: 217"
DYCOL13,4183,83.31005865219646,integer,747,"0: 12,230; 3180000: 1,194; 3000000: 995"
DYCOL14,3,99.98803016398675,integer,3725,"0: 2,772; 3000000: 1,788; 4000000: 1,243"
DYCOL15,3,99.98803016398675,integer,6134,"36000000: 1,097; 30000000: 763; 24000000: 662"
