Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,32086,116014039: 116; 105024060: 108; 127052081: 100
COL1,0,100.0,integer,182,"15610: 28,579; 14210: 27,310; 15540: 27,301"
COL3,0,100.0,integer,8,"1: 987,244; 2: 19,196; 6: 14,876"
COL4_5,161279,84.46198519409151,floating,3973,"2.0: 121,487; 1.0: 116,002; 3.0: 79,576"
COL6,161279,84.46198519409151,integer,5821,"1500: 83,314; 2000: 71,912; 1000: 40,362"
COL7,0,100.0,integer,12082,"6000: 52,923; 10000: 44,755; 12000: 42,843"
