Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,17404,106081088: 86; 109163071: 72; 106034027: 72
COL1,0,100.0,integer,156,"13410: 15,445; 14210: 14,651; 15610: 14,357"
COL3,0,100.0,integer,7,"1: 402,199; 2: 7,161; 6: 5,653"
COL4_5,56036,86.73207968897245,floating,2235,"2.0: 44,587; 1.0: 39,192; 3.0: 33,181"
COL6,56036,86.73207968897245,integer,3892,"1000: 36,291; 1500: 21,775; 1200: 17,123"
COL7,0,100.0,integer,6968,"6000: 18,703; 3000: 16,618; 5000: 15,371"
