Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,6986,3102049: 20; 119012007: 15; 112051069: 13
COL1,0,100.0,integer,48,"33190: 1,790; 34239: 1,072; 34170: 850"
COL3,7600,32.33618233618234,integer,8,"1: 3,613; 7: 8; 2: 5"
COL4,0,100.0,integer,845,0: 530; 2000000: 366; 1000000: 339
COL5,0,100.0,integer,255,"0: 10,378; 6000000: 30; 3000000: 25"
