Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,17858,1240095223: 7; 1240018170: 6; 2240040153: 5
DYCOL01,10,99.95092024539878,integer,15,"1: 15,902; 2: 1,947; 3: 981"
DYCOL03,7270,64.31901840490796,integer,1807,"0: 6,476; 63500000: 247; 75500000: 209"
DYCOL04,9489,53.428220858895706,integer,387,"0: 7,953; 12000000: 137; 30000000: 136"
DYCOL05,10655,47.70552147239264,integer,194,"0: 8,855; 2000000: 38; 6000000: 34"
DYCOL06,7291,64.2159509202454,integer,436,"0: 7,103; 4800000: 675; 3600000: 505"
DYCOL07,10618,47.88711656441718,integer,131,"0: 8,596; 150000: 92; 120000: 85"
DYCOL08,7727,62.0760736196319,integer,306,"0: 5,728; 500000: 602; 5000000: 433"
