Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,39864,20006016612: 1; 11015239605: 1; 11002230413: 1
MahMorajeh,12,99.96989765201685,integer,13,"3: 3,482; 4: 3,379; 12: 3,378"
ShoghlSarparast,1549,96.114288581176,string,8324,"داراي درامد بدون کار: 2,300; زراعتکار: 1,785; داراي درآمد بدون کار: 1,758"
NoeKhn,1548,96.11679711017459,integer,3,"1: 38,286; 2: 30"
Takmil,0,100.0,integer,2,"1: 31,182; 2: 8,682"
TakmilDescA,39013,2.13475817780453,integer,4,1: 644; 2: 107; 3: 100
TakmilDescB,32033,19.6442905879992,integer,8,"1: 4,959; 2: 1,832; 3: 503"
TakmilDescC,39784,0.20068231988761287,string,69,نامشخص: 7; اقامتگاه معمولي خانوار در شهر مي باشد: 3; فايل تصويري نمونه هاي فهرست موجود نيست: 2
Jaygozin,32033,19.6442905879992,integer,3,"1: 7,134; 2: 697"
JaygozinDescA,39810,0.13546056592413924,integer,4,1: 47; 2: 4; 3: 3
JaygozinDescB,39221,1.6129841460967298,integer,8,1: 239; 2: 176; 3: 109
JaygozinDescC,39841,0.0576961669676912,string,17,آبادي فقط دو خانوار ساكن داشته است: 4; خانوارعشايري غيرساکن است: 2; چنين خانواري در اين آبادي ساكن نيست: 2
BlkAbdJaygozin,32730,17.895845875978324,integer,1448,"1: 1,464; 2: 822; 3: 451"
RadifJaygozin,32730,17.895845875978324,integer,13,14: 778; 2: 754; 17: 627
fStat,0,100.0,integer,4,"5: 29,457; 4: 10,152; 3: 254"
fEnt,0,100.0,integer,1461,"1: 2,894; 23: 101; 744: 90"
fvfy,1,99.99749147100141,integer,21,"0: 29,166; 1: 6,239; 2: 2,316"
user1,0,100.0,string,48,"Admin: 33,909; a3: 568; 2: 558"
user2,39484,0.9532410194661889,string,23,Admin: 331; client14: 7; data2: 7
user3,2858,92.83062412201485,string,48,"Admin: 31,861; 2: 558; data2: 476"
user4,13037,67.29630744531407,string,10,"Admin: 24,709; 2: 557; mohamadi: 540"
Tekrari,39864,-0.0,integer,1,
Bakhsh,19452,51.2040939193257,integer,21,"2: 7,811; 1: 4,666; 3: 4,046"
ShrDeh,19452,51.2040939193257,integer,966,1: 306; 2: 231; 1500: 132
Hozeh,19452,51.2040939193257,integer,247,"1: 1,463; 2: 1,217; 3: 1,007"
BlkAbd,19452,51.2040939193257,integer,340,"1: 7,085; 2: 3,413; 3: 2,059"
AbdName,19539,50.98585189644793,string,232,"بلوک: 19,390; ????: 267; ب: 15"
