Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,37045,2000272004: 1; 1100114003: 1; 1100054002: 1
MahMorajeh,0,100.0,integer,12,"4: 3,164; 3: 3,141; 8: 3,113"
NeshaniSarparast,37045,-0.0,integer,1,
NameSarparast,37045,-0.0,integer,1,
ShoghlSarparast,177,99.52220272641382,string,7810,"زراعتکار: 2,029; داراي درامد بدون کار: 1,726; داراي درآمد بدون کار: 1,506"
NoeKhn,177,99.52220272641382,integer,3,"1: 36,823; 2: 45"
Takmil,0,100.0,integer,2,"1: 36,868; 2: 177"
TakmilDesc,36865,0.48589553246052297,string,99,عدم همکاري: 26; صعب العبور بودن: 10; غايب موقت: 9
Jaygozin,177,99.52220272641382,integer,3,"2: 32,746; 1: 4,122"
JaygozinDesc,32898,11.194493183965449,string,1492,خالي از سکنه: 214; عدم حضور خانوار اصلي: 181; خالي از سكنه: 155
BlkAbdJaygozin,32917,11.143204211094615,integer,1136,1: 249; 3: 172; 2: 172
RadifJaygozin,32915,11.148603050344175,integer,47,"6: 1,345; 7: 919; 8: 677"
fStat,0,100.0,integer,3,"5: 20,304; 4: 11,828; 3: 4,913"
fEnt,0,100.0,integer,1589,745: 82; 834: 80; 752: 76
fvfy,0,100.0,integer,55,"0: 21,912; 1: 7,559; 2: 3,332"
user1,0,100.0,string,24,"Admin: 31,353; am01: 1,138; 5: 708"
user2,35457,4.286678364151708,string,12,"Admin: 1,527; moh: 18; am01: 14"
user3,0,100.0,string,21,"Admin: 31,291; am01: 1,128; 5: 708"
user4,14767,60.13767040086382,string,12,"Admin: 19,549; 5: 702; 2: 644"
