Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,38026,1140079069: 65; 2140098118: 65; 2140102108: 63
DYCOL01,0,100.0,integer,309,"139113: 35,499; 139116: 26,857; 127124: 24,150"
DYCOL02,405320,10.902232500065946,integer,195,"1: 14,095; 2: 10,239; 3: 6,304"
DYCOL03,448502,1.409930624554867,string,921,ملي: 605; کشاورزي: 424; بانک ملي: 288
DYCOL04,1954,99.57047015273149,integer,9,"1: 411,742; 8: 25,166; 3: 8,462"
DYCOL05,1756,99.61399467154376,integer,15518,"100000: 24,649; 200000: 18,914; 50000: 15,776"
DYCOL06,435370,4.29661739749756,integer,331,"0: 16,378; 20000000: 147; 30000000: 131"
