Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,16661,1071135: 11; 1072018: 10; 1103231: 10
COL1,0,100.0,integer,30,"51114: 12,602; 51318: 7,523; 51329: 5,126"
COL3,0,100.0,integer,7,"1: 46,538; 7: 228; 3: 88"
COL4,0,100.0,integer,3393,"3000: 3,334; 2000: 2,956; 5000: 2,424"
